"time_period","ref_area","indicator","breakdown","unit_measure","value"
"2011","LV","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","15.2260781809"
"2011","LV","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","18.1865910642"
"2011","LV","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","19.1106210952"
"2011","MT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","87.7205556063"
"2011","MT","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","134.75370457"
"2011","MT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","27.2359260394"
"2011","NL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","20.3631626081"
"2011","NL","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","31.7968457647"
"2011","NO","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","32.1948726684"
"2011","NO","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","44.3886097152"
"2011","NO","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","34.9274621696"
"2011","PL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","32.9523950957"
"2011","PL","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","41.4576906548"
"2011","PL","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","27.2821980564"
"2011","PT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","30.9537052145"
"2011","PT","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","48.8184831374"
"2011","PT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","24.9987792402"
"2011","RO","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","12.1803820892"
"2011","RO","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","12.6488583234"
"2011","RO","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","18.3955001296"
"2011","SE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","22.0647739151"
"2011","SE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","19.8098256735"
"2011","SE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","12.6445695789"
"2011","SI","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","19.4787780688"
"2011","SI","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","32.3249543859"
"2011","SI","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","26.3388517218"
"2011","SK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","16.1174929489"
"2011","SK","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","20.2734622009"
"2011","SK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","19.1594995428"
"2011","UK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","23.6154499933"
"2011","UK","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","41.2242702007"
"2011","UK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","25.9485363591"
"2012","AT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","24.18679549114331"
"2012","AT","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","21.53598414467979"
"2012","AT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","15.29295181469094"
"2012","BE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","22.92590883989389"
"2012","BE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","40.33431884276627"
